subcategory_id,category_id,cf_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date
subcat14,cat6,2677,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100.0,11339,successful,107,US,USD,2020-11-19,2021-10-17
subcat15,cat8,1865,Maldonado-Gonzalez,Digitized client-driven database,3100.0,10085,successful,134,US,USD,2021-08-22,2022-01-09
subcat4,cat4,170,Kim-Rice,Organized bi-directional function,9900.0,5027,failed,88,DK,DKK,2021-04-13,2021-04-30
subcat9,cat3,462,"Garcia, Garcia and Lopez",Reduced stable middleware,8800.0,14878,successful,198,US,USD,2020-11-17,2021-03-17
subcat2,cat2,3122,Watts Group,Universal 5thgeneration neural-net,5600.0,11924,successful,111,IT,EUR,2021-03-16,2021-07-07
subcat1,cat1,1175,Werner-Bryant,Virtual uniform frame,1800.0,7991,successful,222,US,USD,2020-06-19,2021-01-29
subcat16,cat6,2301,Schmitt-Mendoza,Profound explicit paradigm,90200.0,167717,successful,6212,US,USD,2020-11-13,2021-07-05
subcat14,cat6,91,Reid-Mccullough,Visionary real-time groupware,1600.0,10541,successful,98,DK,DKK,2020-11-24,2021-02-28
subcat4,cat4,87,Woods-Clark,Networked tertiary Graphical User Interface,9500.0,4530,failed,48,US,USD,2021-01-17,2021-03-19
subcat2,cat2,1482,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,4247,successful,92,US,USD,2021-05-22,2021-09-22
subcat4,cat4,1711,Bennett and Sons,Function-based multi-state software,1500.0,7129,successful,149,US,USD,2020-12-17,2021-06-26
subcat4,cat4,2294,Lamb Inc,Optimized leadingedge concept,33300.0,128862,successful,2431,US,USD,2021-02-21,2021-11-09
subcat2,cat2,2389,Casey-Kelly,Sharable holistic interface,7200.0,13653,successful,303,US,USD,2021-01-24,2022-01-29
subcat17,cat2,378,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100.0,2,failed,1,IT,EUR,2021-10-07,2021-11-02
subcat9,cat3,1213,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100.0,145243,failed,1467,GB,GBP,2020-09-06,2021-07-28
subcat4,cat4,29,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200.0,2459,failed,75,US,USD,2021-03-11,2022-01-04
subcat7,cat5,2309,Smith-Jones,Reverse-engineered static concept,8800.0,12356,successful,209,US,USD,2021-10-13,2021-12-23
subcat9,cat3,2101,Roy PLC,Multi-channeled neutral customer loyalty,6000.0,5392,failed,120,US,USD,2021-03-29,2021-05-23
subcat18,cat2,1057,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600.0,11746,successful,131,US,USD,2021-09-28,2021-11-28
subcat9,cat3,2655,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000.0,11493,successful,164,US,USD,2021-03-02,2021-05-21
subcat12,cat7,202,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900.0,6243,successful,201,US,USD,2021-07-22,2021-12-03
subcat4,cat4,2025,Anderson-Perez,Expanded 3rdgeneration strategy,2700.0,6132,successful,211,US,USD,2021-02-08,2021-06-10
subcat4,cat4,2395,"Wright, Fox and Marks",Assimilated real-time support,1400.0,3851,successful,128,US,USD,2020-12-09,2021-03-06
subcat4,cat4,1418,Crawford-Peters,User-centric regional database,94200.0,135997,successful,1600,CA,CAD,2020-10-19,2021-08-23
subcat4,cat4,1905,Romero-Hoffman,Open-source zero administration complexity,199200.0,184750,failed,2253,CA,CAD,2021-06-14,2021-10-25
subcat3,cat3,1969,Sparks-West,Organized incremental standardization,2000.0,14452,successful,249,US,USD,2021-08-18,2021-11-20
subcat4,cat4,2430,"Baker, Morgan and Brown",Assimilated didactic open system,4700.0,557,failed,5,US,USD,2021-06-24,2021-07-15
subcat3,cat3,1291,Mosley-Gilbert,Vision-oriented logistical intranet,2800.0,2734,failed,38,US,USD,2021-05-20,2021-09-22
subcat4,cat4,1934,Berry-Boyer,Mandatory incremental projection,6100.0,14405,successful,236,US,USD,2021-02-22,2021-11-19
subcat4,cat4,1225,Sanders-Allen,Grass-roots needs-based encryption,2900.0,1307,failed,12,US,USD,2021-10-04,2021-11-05
subcat9,cat3,1363,Lopez Inc,Team-oriented 6thgeneration middleware,72600.0,117892,successful,4065,GB,GBP,2020-11-02,2021-09-23
subcat4,cat4,963,Moreno-Turner,Inverse multi-tasking installation,5700.0,14508,successful,246,IT,EUR,2020-08-09,2021-02-06
subcat4,cat4,1486,Jones-Watson,Switchable disintermediate moderator,7900.0,1901,canceled,17,US,USD,2021-06-26,2022-01-16
subcat4,cat4,676,Barker Inc,Re-engineered 24/7 task-force,128000.0,158389,successful,2475,IT,EUR,2021-08-07,2022-01-29
subcat4,cat4,2137,"Tate, Bass and House",Organic object-oriented budgetary management,6000.0,6484,successful,76,US,USD,2021-03-18,2021-06-04
subcat11,cat5,2656,"Hampton, Lewis and Ray",Seamless coherent parallelism,600.0,4022,successful,54,US,USD,2021-07-26,2021-11-29
subcat18,cat2,1556,Collins-Goodman,Cross-platform even-keeled initiative,1400.0,9253,successful,88,US,USD,2020-05-10,2021-03-08
subcat17,cat2,747,Davis-Michael,Progressive tertiary framework,3900.0,4776,successful,85,GB,GBP,2021-06-28,2021-08-26
subcat15,cat8,60,"White, Torres and Bishop",Multi-layered dynamic protocol,9700.0,14606,successful,170,US,USD,2021-02-24,2021-03-30
subcat4,cat4,2459,"Martin, Conway and Larsen",Horizontal next generation function,122900.0,95993,failed,1684,US,USD,2020-12-12,2021-12-25
subcat11,cat5,1903,Acevedo-Huffman,Pre-emptive impactful model,9500.0,4460,failed,56,US,USD,2021-06-16,2021-08-26
subcat19,cat6,2003,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500.0,13536,successful,330,US,USD,2020-12-23,2021-04-15
subcat4,cat4,2885,Soto LLC,Triple-buffered reciprocal project,57800.0,40228,failed,838,US,USD,2021-06-12,2021-11-17
subcat12,cat7,2067,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100.0,7012,successful,127,US,USD,2021-06-25,2021-10-20
subcat2,cat2,1610,"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,37857,successful,411,US,USD,2020-10-31,2021-03-03
subcat12,cat7,2909,Porter-George,Reactive content-based framework,1000.0,14973,successful,180,GB,GBP,2020-10-08,2021-11-10
subcat6,cat2,1239,Fitzgerald PLC,Realigned user-facing concept,106400.0,39996,failed,1000,US,USD,2021-06-24,2021-08-07
subcat9,cat3,2480,Cisneros-Burton,Public-key zero tolerance orchestration,31400.0,41564,successful,374,US,USD,2021-07-02,2021-10-04
subcat8,cat2,2181,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,6430,successful,71,AU,AUD,2021-05-28,2021-08-19
subcat4,cat4,2030,Davis-Smith,Organic motivating firmware,7400.0,12405,successful,203,US,USD,2021-05-15,2021-09-11
subcat2,cat2,2311,Farrell and Sons,Synergized 4thgeneration conglomeration,198500.0,123040,failed,1482,AU,AUD,2020-08-22,2021-03-23
subcat19,cat6,2821,Clark Group,Grass-roots fault-tolerant policy,4800.0,12516,successful,113,US,USD,2020-07-20,2021-02-21
subcat4,cat4,2468,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400.0,8588,successful,96,US,USD,2020-07-22,2021-01-17
subcat4,cat4,656,Kramer Group,Synergistic explicit parallelism,7800.0,6132,failed,106,US,USD,2021-10-08,2021-11-14
subcat19,cat6,2791,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300.0,74688,failed,679,IT,EUR,2020-07-02,2021-06-16
subcat12,cat7,1527,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000.0,51775,successful,498,CH,CHF,2020-08-04,2021-05-14
subcat4,cat4,1891,Hall and Sons,Pre-emptive radical architecture,108800.0,65877,canceled,610,US,USD,2020-11-21,2021-12-04
subcat3,cat3,580,Hanson Inc,Grass-roots web-enabled contingency,2900.0,8807,successful,180,GB,GBP,2021-03-13,2021-08-28
subcat5,cat5,682,Sanchez LLC,Stand-alone system-worthy standardization,900.0,1017,successful,27,US,USD,2021-08-05,2021-09-04
subcat4,cat4,3097,Howard Ltd,Down-sized systematic policy,69700.0,151513,successful,2331,US,USD,2021-10-17,2021-12-25
subcat1,cat1,873,Stewart LLC,Cloned bi-directional architecture,1300.0,12047,successful,113,US,USD,2020-11-28,2021-06-10
subcat12,cat7,1668,"Arias, Allen and Miller",Seamless transitional portal,97800.0,32951,failed,1220,AU,AUD,2021-02-13,2021-11-02
subcat4,cat4,3076,Baker-Morris,Fully-configurable motivating approach,7600.0,14951,successful,164,US,USD,2020-08-22,2021-02-05
subcat4,cat4,3146,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100.0,1,failed,1,US,USD,2021-06-21,2021-10-22
subcat6,cat2,253,Douglas LLC,Reduced heuristic moratorium,900.0,9193,successful,164,US,USD,2021-10-05,2022-01-26
subcat9,cat3,3088,Garcia Inc,Front-line web-enabled model,3700.0,10422,successful,336,US,USD,2020-09-17,2021-08-17
subcat6,cat2,393,"Frye, Hunt and Powell",Polarized incremental emulation,10000.0,2461,failed,37,IT,EUR,2021-05-09,2021-08-02
subcat8,cat2,2912,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200.0,170623,successful,1917,US,USD,2021-07-08,2021-10-14
subcat3,cat3,478,Charles-Johnson,Total fresh-thinking system engine,6800.0,9829,successful,95,US,USD,2020-10-07,2021-07-22
subcat4,cat4,1061,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900.0,14006,successful,147,US,USD,2021-03-04,2021-05-18
subcat4,cat4,2957,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500.0,6527,successful,86,US,USD,2021-05-06,2021-12-27
subcat5,cat5,2015,Decker Inc,Universal encompassing implementation,1500.0,8929,successful,83,US,USD,2020-10-13,2021-07-22
subcat20,cat5,1179,Romero and Sons,Object-based client-server application,5200.0,3079,failed,60,US,USD,2020-09-30,2021-06-11
subcat1,cat1,2568,Castillo-Carey,Cross-platform solution-oriented process improvement,142400.0,21307,failed,296,US,USD,2020-05-04,2021-05-29
subcat16,cat6,2869,Hart-Briggs,Re-engineered user-facing approach,61400.0,73653,successful,676,US,USD,2021-03-16,2021-10-26
subcat3,cat3,718,Jones-Meyer,Re-engineered client-driven hub,4700.0,12635,successful,361,AU,AUD,2020-10-23,2021-04-11
subcat1,cat1,1211,"Wright, Hartman and Yu",User-friendly tertiary array,3300.0,12437,successful,131,US,USD,2021-01-28,2021-02-12
subcat9,cat3,2431,Harper-Davis,Robust heuristic encoding,1900.0,13816,successful,126,US,USD,2021-07-01,2021-12-30
subcat14,cat6,468,Barrett PLC,Team-oriented clear-thinking capacity,166700.0,145382,failed,3304,IT,EUR,2021-03-19,2021-04-15
subcat4,cat4,1862,David-Clark,De-engineered motivating standardization,7200.0,6336,failed,73,US,USD,2021-09-01,2021-12-30
subcat20,cat5,2300,Chaney-Dennis,Business-focused 24hour groupware,4900.0,8523,successful,275,US,USD,2021-06-17,2021-12-30
subcat15,cat8,449,"Robinson, Lopez and Christensen",Organic next generation protocol,5400.0,6351,successful,67,US,USD,2020-10-06,2021-10-16
subcat5,cat5,283,Clark and Sons,Reverse-engineered full-range Internet solution,5000.0,10748,successful,154,US,USD,2021-07-26,2021-10-31
subcat21,cat7,2484,Vega Group,Synchronized regional synergy,75100.0,112272,successful,1782,US,USD,2021-04-14,2021-10-07
subcat12,cat7,1490,Brown-Brown,Multi-lateral homogeneous success,45300.0,99361,successful,903,US,USD,2020-06-20,2021-04-13
subcat14,cat6,186,Taylor PLC,Seamless zero-defect solution,136800.0,88055,failed,3387,US,USD,2020-05-20,2021-01-27
subcat4,cat4,2999,Edwards-Lewis,Enhanced scalable concept,177700.0,33092,failed,662,CA,CAD,2022-01-14,2022-02-02
subcat15,cat8,2819,"Stanton, Neal and Rodriguez",Polarized uniform software,2600.0,9562,successful,94,IT,EUR,2020-07-18,2021-02-27
subcat4,cat4,2105,Pratt LLC,Stand-alone web-enabled moderator,5300.0,8475,successful,180,US,USD,2020-05-09,2021-05-01
subcat4,cat4,1324,Gross PLC,Proactive methodical benchmark,180200.0,69617,failed,774,US,USD,2020-03-23,2021-03-10
subcat4,cat4,1952,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200.0,53067,failed,672,CA,CAD,2021-03-02,2021-06-15
subcat2,cat2,2404,Allen-Curtis,Phased human-resource core,70600.0,42596,canceled,532,US,USD,2020-09-12,2021-09-16
subcat1,cat1,990,Morgan-Martinez,Mandatory tertiary implementation,148500.0,4756,canceled,55,AU,AUD,2021-03-22,2021-12-05
subcat7,cat5,1459,"Luna, Anderson and Fox",Secured directional encryption,9600.0,14925,successful,533,DK,DKK,2020-10-09,2021-07-12
subcat3,cat3,1106,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700.0,166116,successful,2443,GB,GBP,2021-07-16,2022-01-17
subcat4,cat4,1488,Flowers and Sons,Virtual static core,3300.0,3834,successful,89,US,USD,2020-10-19,2021-11-01
subcat22,cat2,2107,Gates PLC,Secured content-based product,4500.0,13985,successful,159,US,USD,2020-07-08,2021-05-17
subcat5,cat5,2660,Caldwell LLC,Secured executive concept,99500.0,89288,failed,940,CH,CHF,2021-07-22,2021-07-27
subcat4,cat4,2647,"Le, Burton and Evans",Balanced zero-defect software,7700.0,5488,failed,117,US,USD,2020-12-24,2021-12-01
subcat7,cat5,565,Briggs PLC,Distributed context-sensitive flexibility,82800.0,2721,canceled,58,US,USD,2021-03-22,2021-04-13
subcat10,cat6,2713,Hudson-Nguyen,Down-sized disintermediate support,1800.0,4712,successful,50,US,USD,2020-04-06,2021-02-13
subcat21,cat7,558,Hogan Ltd,Stand-alone mission-critical moratorium,9600.0,9216,failed,115,US,USD,2021-05-09,2021-12-16
subcat9,cat3,698,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100.0,19246,failed,326,US,USD,2021-01-13,2021-07-06
subcat5,cat5,321,Bautista-Cross,Fully-configurable coherent Internet solution,5500.0,12274,successful,186,US,USD,2020-10-17,2021-05-04
subcat3,cat3,1302,Jackson LLC,Distributed motivating algorithm,64300.0,65323,successful,1071,US,USD,2020-05-06,2021-03-20
subcat3,cat3,1410,Figueroa Ltd,Expanded solution-oriented benchmark,5000.0,11502,successful,117,US,USD,2021-05-25,2021-11-23
subcat8,cat2,2465,Avila-Jones,Implemented discrete secured line,5400.0,7322,successful,70,US,USD,2020-12-02,2021-11-24
subcat4,cat4,377,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000.0,11619,successful,135,US,USD,2021-02-06,2021-04-19
subcat9,cat3,1882,Fields-Moore,Secured reciprocal array,25000.0,59128,successful,768,CH,CHF,2021-01-27,2021-11-20
subcat4,cat4,822,Harris-Golden,Optional bandwidth-monitored middleware,8800.0,1518,canceled,51,US,USD,2020-09-14,2021-01-31
subcat4,cat4,2730,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300.0,9337,successful,199,US,USD,2021-08-20,2021-11-14
subcat9,cat3,2198,"White, Larson and Wright",Upgradable hybrid capability,9300.0,11255,successful,107,US,USD,2020-04-18,2021-02-14
subcat8,cat2,2757,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.0,13632,successful,195,US,USD,2020-09-07,2021-04-15
subcat2,cat2,2588,"Brown, Palmer and Pace",Networked stable workforce,100.0,1,failed,1,US,USD,2021-01-20,2021-07-10
subcat6,cat2,1090,Parker LLC,Customizable intermediate extranet,137200.0,88037,failed,1467,US,USD,2021-12-01,2022-01-11
subcat8,cat2,64,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.0,175573,successful,3376,US,USD,2020-11-12,2021-07-22
subcat4,cat4,2171,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400.0,176112,failed,5681,US,USD,2021-07-16,2021-11-11
subcat8,cat2,625,Rodriguez-Brown,Devolved foreground benchmark,171300.0,100650,failed,1059,US,USD,2021-01-28,2021-06-19
subcat4,cat4,1065,Hall-Schaefer,Distributed eco-centric methodology,139500.0,90706,failed,1194,US,USD,2021-05-22,2021-07-28
subcat2,cat2,174,Meza-Rogers,Streamlined encompassing encryption,36400.0,26914,canceled,379,AU,AUD,2020-11-23,2021-12-25
subcat15,cat8,1344,Curtis-Curtis,User-friendly reciprocal initiative,4200.0,2212,failed,30,AU,AUD,2021-04-19,2021-10-13
subcat2,cat2,2824,Carlson Inc,Ergonomic fresh-thinking installation,2100.0,4640,successful,41,US,USD,2020-12-27,2021-11-23
subcat4,cat4,940,"Clarke, Anderson and Lee",Robust explicit hardware,191200.0,191222,successful,1821,US,USD,2021-05-21,2021-06-29
subcat9,cat3,3024,Evans Group,Stand-alone actuating support,8000.0,12985,successful,164,US,USD,2021-04-25,2021-07-13
subcat3,cat3,2164,Bruce Group,Cross-platform methodical process improvement,5500.0,4300,failed,75,US,USD,2021-01-31,2021-09-04
subcat2,cat2,2427,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100.0,9134,successful,157,CH,CHF,2021-09-04,2021-12-15
subcat15,cat8,1548,Burton-Watkins,Extended reciprocal circuit,3500.0,8864,successful,246,US,USD,2020-07-31,2021-08-14
subcat4,cat4,2657,Lopez and Sons,Polarized human-resource protocol,150500.0,150755,successful,1396,US,USD,2021-11-13,2021-11-23
subcat3,cat3,2916,Cordova Ltd,Synergized radical product,90400.0,110279,successful,2506,US,USD,2021-05-04,2021-08-07
subcat15,cat8,1348,Brown-Vang,Robust heuristic artificial intelligence,9800.0,13439,successful,244,US,USD,2021-01-10,2021-08-24
subcat4,cat4,557,Cruz-Ward,Robust content-based emulation,2600.0,10804,successful,146,AU,AUD,2021-03-31,2021-10-18
subcat8,cat2,2915,Hernandez Group,Ergonomic uniform open system,128100.0,40107,failed,955,DK,DKK,2020-05-15,2021-03-17
subcat13,cat5,320,"Tran, Steele and Wilson",Profit-focused modular product,23300.0,98811,successful,1267,US,USD,2020-07-09,2021-03-22
subcat8,cat2,1458,"Summers, Gallegos and Stein",Mandatory mobile product,188100.0,5528,failed,67,US,USD,2020-09-23,2021-07-26
subcat19,cat6,379,Blair Group,Public-key 3rdgeneration budgetary management,4900.0,521,failed,5,US,USD,2020-11-16,2021-11-22
subcat5,cat5,1879,Nixon Inc,Centralized national firmware,800.0,663,failed,26,US,USD,2020-09-03,2021-04-15
subcat4,cat4,597,White LLC,Cross-group 4thgeneration middleware,96700.0,157635,successful,1561,US,USD,2021-03-20,2021-10-16
subcat9,cat3,1130,"Santos, Black and Donovan",Pre-emptive scalable access,600.0,5368,successful,48,US,USD,2020-04-14,2021-02-07
subcat4,cat4,2354,"Jones, Contreras and Burnett",Sharable intangible migration,181200.0,47459,failed,1130,US,USD,2021-01-26,2021-12-15
subcat4,cat4,1358,Stone-Orozco,Proactive scalable Graphical User Interface,115000.0,86060,failed,782,US,USD,2021-01-05,2021-05-05
subcat4,cat4,188,"Lee, Gibson and Morgan",Digitized solution-oriented product,38800.0,161593,successful,2739,US,USD,2021-05-01,2021-08-25
subcat1,cat1,2228,Alexander-Williams,Triple-buffered cohesive structure,7200.0,6927,failed,210,US,USD,2021-04-16,2021-07-07
subcat4,cat4,1743,Marks Ltd,Realigned human-resource orchestration,44500.0,159185,successful,3537,CA,CAD,2020-09-13,2021-04-10
subcat9,cat3,2563,"Olsen, Edwards and Reid",Optional clear-thinking software,56000.0,172736,successful,2107,AU,AUD,2020-10-08,2021-06-05
subcat3,cat3,2424,"Daniels, Rose and Tyler",Centralized global approach,8600.0,5315,failed,136,US,USD,2021-03-16,2021-04-14
subcat4,cat4,2369,Adams Group,Reverse-engineered bandwidth-monitored contingency,27100.0,195750,successful,3318,DK,DKK,2021-03-08,2021-08-27
subcat2,cat2,1134,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100.0,3525,failed,86,CA,CAD,2020-04-15,2021-03-01
subcat4,cat4,2241,"Howard, Carter and Griffith",Adaptive asynchronous emulation,3600.0,10550,successful,340,US,USD,2021-07-12,2021-09-10
subcat20,cat5,2745,Bailey PLC,Innovative actuating conglomeration,1000.0,718,failed,19,US,USD,2020-04-27,2021-03-21
subcat4,cat4,1055,Parker Group,Grass-roots foreground policy,88800.0,28358,failed,886,US,USD,2021-02-09,2021-08-15
subcat13,cat5,1215,Fox Group,Horizontal transitional paradigm,60200.0,138384,successful,1442,CA,CAD,2020-06-11,2021-02-19
subcat4,cat4,2036,"Walker, Jones and Rodriguez",Networked didactic info-mediaries,8200.0,2625,failed,35,IT,EUR,2021-06-17,2021-10-06
subcat4,cat4,1191,Anthony-Shaw,Switchable contextually-based access,191300.0,45004,canceled,441,US,USD,2021-01-29,2021-05-22
subcat4,cat4,879,Cook LLC,Up-sized dynamic throughput,3700.0,2538,failed,24,US,USD,2021-02-23,2021-09-03
subcat4,cat4,3062,Sutton PLC,Mandatory reciprocal superstructure,8400.0,3188,failed,86,IT,EUR,2020-07-24,2021-05-10
subcat2,cat2,611,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600.0,8517,failed,243,US,USD,2020-11-06,2021-06-15
subcat8,cat2,3195,"Calhoun, Rogers and Long",Progressive discrete hub,6600.0,3012,failed,65,US,USD,2020-04-24,2021-03-21
subcat17,cat2,1221,Sandoval Group,Assimilated multi-tasking archive,7100.0,8716,successful,126,US,USD,2021-08-29,2021-09-20
subcat6,cat2,2536,Smith and Sons,Upgradable high-level solution,15800.0,57157,successful,524,US,USD,2021-02-01,2021-12-14
subcat9,cat3,1834,King Inc,Organic bandwidth-monitored frame,8200.0,5178,failed,100,DK,DKK,2020-08-05,2021-08-29
subcat7,cat5,593,Perry and Sons,Business-focused logistical framework,54700.0,163118,successful,1989,US,USD,2021-03-13,2021-06-01
subcat6,cat2,3039,Palmer Inc,Universal multi-state capability,63200.0,6041,failed,168,US,USD,2021-04-04,2021-07-04
subcat2,cat2,777,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800.0,968,failed,13,US,USD,2020-03-13,2021-03-12
subcat4,cat4,835,"Becker, Rice and White",Reduced dedicated capability,100.0,2,failed,1,CA,CAD,2020-09-23,2021-05-25
subcat3,cat3,797,"Osborne, Perkins and Knox",Cross-platform bi-directional workforce,2100.0,14305,successful,157,US,USD,2021-02-08,2021-10-25
subcat1,cat1,509,Mcknight-Freeman,Upgradable scalable methodology,8300.0,6543,canceled,82,US,USD,2020-08-12,2021-04-21
subcat4,cat4,2286,"Hayden, Shannon and Stein",Customer-focused client-server service-desk,143900.0,193413,successful,4498,AU,AUD,2021-05-23,2021-09-23
